image_name,Class,Glaucoma,Healthy
Im310_g_ACRIMA.jpg,Glaucoma,0.29856,0.70144
Im311_g_ACRIMA.jpg,Glaucoma,0.08803,0.91197
Im312_g_ACRIMA.jpg,Glaucoma,0.97477,0.02523
Im313_g_ACRIMA.jpg,Glaucoma,0.99921,0.00079
Im314_g_ACRIMA.jpg,Glaucoma,0.99971,0.00029
Im315_g_ACRIMA.jpg,Glaucoma,0.98683,0.01317
Im316_g_ACRIMA.jpg,Glaucoma,0.98908,0.01092
Im317_g_ACRIMA.jpg,Glaucoma,0.98839,0.01161
Im318_g_ACRIMA.jpg,Glaucoma,0.98185,0.01815
Im319_g_ACRIMA.jpg,Glaucoma,0.99939,0.00061
Im320_g_ACRIMA.jpg,Glaucoma,0.96331,0.03669
Im321_g_ACRIMA.jpg,Glaucoma,0.56162,0.43838
Im322_g_ACRIMA.jpg,Glaucoma,0.99781,0.00219
Im323_g_ACRIMA.jpg,Glaucoma,0.99252,0.00748
Im324_g_ACRIMA.jpg,Glaucoma,0.57748,0.42252
Im325_g_ACRIMA.jpg,Glaucoma,0.96807,0.03193
Im326_g_ACRIMA.jpg,Glaucoma,0.99872,0.00128
Im327_g_ACRIMA.jpg,Glaucoma,0.91119,0.08881
Im328_g_ACRIMA.jpg,Glaucoma,0.41253,0.58747
Im329_g_ACRIMA.jpg,Glaucoma,0.51028,0.48972
Im330_g_ACRIMA.jpg,Glaucoma,0.90855,0.09145
Im331_g_ACRIMA.jpg,Glaucoma,0.86352,0.13648
Im332_g_ACRIMA.jpg,Glaucoma,0.99784,0.00216
Im333_g_ACRIMA.jpg,Glaucoma,0.99650,0.00350
Im334_g_ACRIMA.jpg,Glaucoma,0.99882,0.00118
Im335_g_ACRIMA.jpg,Glaucoma,0.23338,0.76662
Im336_g_ACRIMA.jpg,Glaucoma,0.99921,0.00079
Im337_g_ACRIMA.jpg,Glaucoma,0.97232,0.02768
Im338_g_ACRIMA.jpg,Glaucoma,0.99057,0.00943
Im339_g_ACRIMA.jpg,Glaucoma,0.99404,0.00596
Im340_g_ACRIMA.jpg,Glaucoma,0.99779,0.00221
Im341_g_ACRIMA.jpg,Glaucoma,0.99906,0.00094
Im342_g_ACRIMA.jpg,Glaucoma,0.71912,0.28088
Im343_g_ACRIMA.jpg,Glaucoma,0.96848,0.03152
Im344_g_ACRIMA.jpg,Glaucoma,0.99890,0.00110
Im345_g_ACRIMA.jpg,Glaucoma,0.35187,0.64813
Im346_g_ACRIMA.jpg,Glaucoma,0.99235,0.00765
Im347_g_ACRIMA.jpg,Glaucoma,0.95815,0.04185
Im348_g_ACRIMA.jpg,Glaucoma,0.90518,0.09482
Im349_g_ACRIMA.jpg,Glaucoma,0.99834,0.00166
Im350_g_ACRIMA.jpg,Glaucoma,0.99998,0.00002
Im351_g_ACRIMA.jpg,Glaucoma,0.99965,0.00035
Im352_g_ACRIMA.jpg,Glaucoma,0.49924,0.50076
Im353_g_ACRIMA.jpg,Glaucoma,0.99981,0.00019
Im354_g_ACRIMA.jpg,Glaucoma,0.95581,0.04419
Im355_g_ACRIMA.jpg,Glaucoma,0.92752,0.07248
Im356_g_ACRIMA.jpg,Glaucoma,0.99675,0.00325
Im357_g_ACRIMA.jpg,Glaucoma,0.72274,0.27726
Im358_g_ACRIMA.jpg,Glaucoma,0.36036,0.63964
Im359_g_ACRIMA.jpg,Glaucoma,0.99476,0.00525
Im360_g_ACRIMA.jpg,Glaucoma,0.99687,0.00313
Im361_g_ACRIMA.jpg,Glaucoma,0.99923,0.00077
Im362_g_ACRIMA.jpg,Glaucoma,0.98586,0.01414
Im363_g_ACRIMA.jpg,Glaucoma,0.98041,0.01959
Im364_g_ACRIMA.jpg,Glaucoma,0.92188,0.07812
Im365_g_ACRIMA.jpg,Glaucoma,0.97123,0.02877
Im366_g_ACRIMA.jpg,Glaucoma,0.97142,0.02858
Im367_g_ACRIMA.jpg,Glaucoma,0.98905,0.01095
Im368_g_ACRIMA.jpg,Glaucoma,0.99899,0.00101
Im369_g_ACRIMA.jpg,Glaucoma,0.99787,0.00213
Im370_g_ACRIMA.jpg,Glaucoma,0.99955,0.00045
Im371_g_ACRIMA.jpg,Glaucoma,0.90147,0.09853
Im372_g_ACRIMA.jpg,Glaucoma,0.99968,0.00032
Im373_g_ACRIMA.jpg,Glaucoma,0.99948,0.00052
Im374_g_ACRIMA.jpg,Glaucoma,0.99967,0.00033
Im375_g_ACRIMA.jpg,Glaucoma,0.51572,0.48428
Im376_g_ACRIMA.jpg,Glaucoma,0.99976,0.00024
Im377_g_ACRIMA.jpg,Glaucoma,0.95100,0.04900
Im378_g_ACRIMA.jpg,Glaucoma,0.22547,0.77453
Im379_g_ACRIMA.jpg,Glaucoma,0.98349,0.01651
Im380_g_ACRIMA.jpg,Glaucoma,0.58298,0.41702
Im381_g_ACRIMA.jpg,Glaucoma,0.99127,0.00873
Im382_g_ACRIMA.jpg,Glaucoma,0.96308,0.03692
Im383_g_ACRIMA.jpg,Glaucoma,0.99581,0.00419
Im384_g_ACRIMA.jpg,Glaucoma,0.99574,0.00426
Im385_g_ACRIMA.jpg,Glaucoma,0.70991,0.29009
Im386_g_ACRIMA.jpg,Glaucoma,0.99088,0.00912
Im387_g_ACRIMA.jpg,Glaucoma,0.98785,0.01215
