image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.37749,0.62251
037.jpg,Glaucoma,0.10200,0.89800
041.jpg,Glaucoma,0.96601,0.03399
050.jpg,Glaucoma,0.99901,0.00099
069.jpg,Glaucoma,0.98807,0.01193
072.jpg,Glaucoma,0.01593,0.98407
076.jpg,Glaucoma,0.44002,0.55998
086.jpg,Glaucoma,0.96379,0.03621
087.jpg,Glaucoma,0.00300,0.99700
093.jpg,Glaucoma,0.98965,0.01035
094.jpg,Glaucoma,0.99512,0.00488
097.jpg,Glaucoma,0.73751,0.26249
110.jpg,Glaucoma,0.42492,0.57508
116.jpg,Glaucoma,0.03213,0.96787
138.jpg,Glaucoma,0.16745,0.83255
158.jpg,Glaucoma,0.99624,0.00376
159.jpg,Glaucoma,0.99676,0.00324
160.jpg,Glaucoma,0.82283,0.17717
165.jpg,Glaucoma,0.62242,0.37758
168.jpg,Glaucoma,0.81623,0.18377
171.jpg,Glaucoma,0.00043,0.99957
180.jpg,Glaucoma,0.30974,0.69026
181.jpg,Glaucoma,0.06477,0.93523
182.jpg,Glaucoma,0.24195,0.75805
208.jpg,Glaucoma,0.98017,0.01983
213.jpg,Glaucoma,0.06550,0.93450
225.jpg,Glaucoma,0.04067,0.95933
228.jpg,Glaucoma,0.93375,0.06625
229.jpg,Glaucoma,0.32877,0.67123
233.jpg,Glaucoma,0.96654,0.03346
240.jpg,Glaucoma,0.21166,0.78834
241.jpg,Glaucoma,0.99971,0.00029
245.jpg,Glaucoma,0.76403,0.23597
246.jpg,Glaucoma,0.77332,0.22668
247.jpg,Glaucoma,0.29263,0.70737
269.jpg,Glaucoma,0.90955,0.09045
270.jpg,Glaucoma,0.98549,0.01451
273.jpg,Glaucoma,0.14741,0.85259
277.jpg,Glaucoma,0.99986,0.00014
278.jpg,Glaucoma,0.99920,0.00080
283.jpg,Glaucoma,0.67621,0.32379
284.jpg,Glaucoma,0.99864,0.00136
285.jpg,Glaucoma,0.85383,0.14617
286.jpg,Glaucoma,0.90986,0.09014
289.jpg,Glaucoma,0.98537,0.01463
293.jpg,Glaucoma,0.01983,0.98017
294.jpg,Glaucoma,0.95626,0.04374
300.jpg,Glaucoma,0.79791,0.20209
301.jpg,Glaucoma,0.19066,0.80934
304.jpg,Glaucoma,0.00168,0.99832
305.jpg,Glaucoma,0.95152,0.04848
306.jpg,Glaucoma,0.63868,0.36132
312.jpg,Glaucoma,0.00008,0.99992
317.jpg,Glaucoma,0.00177,0.99823
322.jpg,Glaucoma,0.79519,0.20481
327.jpg,Glaucoma,0.99154,0.00846
330.jpg,Glaucoma,0.00033,0.99967
336.jpg,Glaucoma,0.63538,0.36462
337.jpg,Glaucoma,0.32212,0.67788
340.jpg,Glaucoma,0.95481,0.04519
345.jpg,Glaucoma,0.73822,0.26178
348.jpg,Glaucoma,0.99393,0.00607
349.jpg,Glaucoma,0.11485,0.88515
353.jpg,Glaucoma,0.51901,0.48099
354.jpg,Glaucoma,0.91982,0.08018
359.jpg,Glaucoma,0.00220,0.99780
362.jpg,Glaucoma,0.98807,0.01193
366.jpg,Glaucoma,0.25446,0.74554
377.jpg,Glaucoma,0.44646,0.55354
381.jpg,Glaucoma,0.26456,0.73544
382.jpg,Glaucoma,0.28020,0.71980
383.jpg,Glaucoma,0.82623,0.17377
385.jpg,Glaucoma,0.06721,0.93279
386.jpg,Glaucoma,0.00322,0.99678
389.jpg,Glaucoma,0.99351,0.00649
390.jpg,Glaucoma,0.99829,0.00171
395.jpg,Glaucoma,0.60014,0.39986
398.jpg,Glaucoma,0.06175,0.93825
402.jpg,Glaucoma,0.87113,0.12887
407.jpg,Glaucoma,0.99932,0.00068
419.jpg,Glaucoma,0.28035,0.71965
424.jpg,Glaucoma,0.91236,0.08764
426.jpg,Glaucoma,0.39177,0.60823
429.jpg,Glaucoma,0.91972,0.08028
432.jpg,Glaucoma,0.96585,0.03415
433.jpg,Glaucoma,0.87579,0.12421
439.jpg,Glaucoma,0.43492,0.56508
440.jpg,Glaucoma,0.99695,0.00305
441.jpg,Glaucoma,0.99985,0.00015
442.jpg,Glaucoma,0.97698,0.02302
457.jpg,Glaucoma,0.70245,0.29755
458.jpg,Glaucoma,0.97541,0.02459
465.jpg,Glaucoma,0.84146,0.15854
468.jpg,Glaucoma,0.09720,0.90280
474.jpg,Glaucoma,0.00528,0.99472
480.jpg,Glaucoma,0.00179,0.99821
486.jpg,Glaucoma,0.97705,0.02295
490.jpg,Glaucoma,0.00452,0.99548
496.jpg,Glaucoma,0.95199,0.04801
505.jpg,Glaucoma,0.00043,0.99957
506.jpg,Glaucoma,0.98940,0.01060
507.jpg,Glaucoma,0.99134,0.00866
508.jpg,Glaucoma,0.42274,0.57726
511.jpg,Glaucoma,0.00067,0.99933
512.jpg,Glaucoma,0.85029,0.14971
514.jpg,Glaucoma,0.87201,0.12799
515.jpg,Glaucoma,0.99488,0.00512
516.jpg,Glaucoma,0.84760,0.15240
519.jpg,Glaucoma,0.80451,0.19549
523.jpg,Glaucoma,0.92867,0.07133
524.jpg,Glaucoma,0.95504,0.04496
528.jpg,Glaucoma,0.97761,0.02239
532.jpg,Glaucoma,0.70588,0.29412
533.jpg,Glaucoma,0.97674,0.02326
545.jpg,Glaucoma,0.01093,0.98907
549.jpg,Glaucoma,0.99607,0.00393
550.jpg,Glaucoma,0.99858,0.00142
556.jpg,Glaucoma,0.99989,0.00011
557.jpg,Glaucoma,0.07062,0.92938
558.jpg,Glaucoma,0.00008,0.99992
560.jpg,Glaucoma,0.00693,0.99307
571.jpg,Glaucoma,0.94985,0.05015
572.jpg,Glaucoma,0.98266,0.01734
