image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.75849,0.24151
037.jpg,Glaucoma,0.20225,0.79775
041.jpg,Glaucoma,0.98856,0.01144
050.jpg,Glaucoma,0.99869,0.00131
069.jpg,Glaucoma,0.98716,0.01284
072.jpg,Glaucoma,0.00159,0.99841
076.jpg,Glaucoma,0.84271,0.15729
086.jpg,Glaucoma,0.97337,0.02663
087.jpg,Glaucoma,0.01900,0.98100
093.jpg,Glaucoma,0.99447,0.00553
094.jpg,Glaucoma,0.95510,0.04490
097.jpg,Glaucoma,0.59523,0.40477
110.jpg,Glaucoma,0.39883,0.60117
116.jpg,Glaucoma,0.41152,0.58848
138.jpg,Glaucoma,0.55936,0.44064
158.jpg,Glaucoma,0.99918,0.00082
159.jpg,Glaucoma,0.99299,0.00701
160.jpg,Glaucoma,0.99603,0.00397
165.jpg,Glaucoma,0.69160,0.30840
168.jpg,Glaucoma,0.90472,0.09528
171.jpg,Glaucoma,0.00172,0.99828
180.jpg,Glaucoma,0.19451,0.80549
181.jpg,Glaucoma,0.07727,0.92273
182.jpg,Glaucoma,0.09374,0.90626
208.jpg,Glaucoma,0.99810,0.00190
213.jpg,Glaucoma,0.14825,0.85175
225.jpg,Glaucoma,0.00373,0.99627
228.jpg,Glaucoma,0.10141,0.89859
229.jpg,Glaucoma,0.50091,0.49909
233.jpg,Glaucoma,0.69044,0.30956
240.jpg,Glaucoma,0.11951,0.88049
241.jpg,Glaucoma,0.99963,0.00037
245.jpg,Glaucoma,0.68267,0.31733
246.jpg,Glaucoma,0.14077,0.85923
247.jpg,Glaucoma,0.47615,0.52385
269.jpg,Glaucoma,0.90106,0.09894
270.jpg,Glaucoma,0.92130,0.07870
273.jpg,Glaucoma,0.12586,0.87414
277.jpg,Glaucoma,0.99891,0.00109
278.jpg,Glaucoma,0.99411,0.00589
283.jpg,Glaucoma,0.71734,0.28266
284.jpg,Glaucoma,0.98190,0.01810
285.jpg,Glaucoma,0.81537,0.18463
286.jpg,Glaucoma,0.89627,0.10373
289.jpg,Glaucoma,0.99832,0.00168
293.jpg,Glaucoma,0.01848,0.98152
294.jpg,Glaucoma,0.97179,0.02821
300.jpg,Glaucoma,0.28216,0.71784
301.jpg,Glaucoma,0.33254,0.66746
304.jpg,Glaucoma,0.00166,0.99834
305.jpg,Glaucoma,0.91773,0.08227
306.jpg,Glaucoma,0.91058,0.08942
312.jpg,Glaucoma,0.00005,0.99995
317.jpg,Glaucoma,0.00701,0.99299
322.jpg,Glaucoma,0.76177,0.23823
327.jpg,Glaucoma,0.97087,0.02913
330.jpg,Glaucoma,0.00052,0.99948
336.jpg,Glaucoma,0.40407,0.59593
337.jpg,Glaucoma,0.01916,0.98084
340.jpg,Glaucoma,0.11227,0.88773
345.jpg,Glaucoma,0.07725,0.92275
348.jpg,Glaucoma,0.91592,0.08408
349.jpg,Glaucoma,0.00821,0.99179
353.jpg,Glaucoma,0.45007,0.54993
354.jpg,Glaucoma,0.99453,0.00547
359.jpg,Glaucoma,0.00095,0.99905
362.jpg,Glaucoma,0.94231,0.05769
366.jpg,Glaucoma,0.95061,0.04939
377.jpg,Glaucoma,0.15591,0.84409
381.jpg,Glaucoma,0.61288,0.38712
382.jpg,Glaucoma,0.06899,0.93101
383.jpg,Glaucoma,0.97438,0.02562
385.jpg,Glaucoma,0.03635,0.96365
386.jpg,Glaucoma,0.00053,0.99947
389.jpg,Glaucoma,0.99550,0.00450
390.jpg,Glaucoma,0.99929,0.00071
395.jpg,Glaucoma,0.73076,0.26924
398.jpg,Glaucoma,0.58244,0.41756
402.jpg,Glaucoma,0.50933,0.49067
407.jpg,Glaucoma,0.99660,0.00340
419.jpg,Glaucoma,0.47871,0.52129
424.jpg,Glaucoma,0.72503,0.27497
426.jpg,Glaucoma,0.64977,0.35023
429.jpg,Glaucoma,0.96396,0.03604
432.jpg,Glaucoma,0.97061,0.02939
433.jpg,Glaucoma,0.90571,0.09429
439.jpg,Glaucoma,0.02299,0.97701
440.jpg,Glaucoma,0.99814,0.00186
441.jpg,Glaucoma,0.99933,0.00067
442.jpg,Glaucoma,0.93811,0.06189
457.jpg,Glaucoma,0.16729,0.83271
458.jpg,Glaucoma,0.99415,0.00585
465.jpg,Glaucoma,0.96068,0.03932
468.jpg,Glaucoma,0.02954,0.97046
474.jpg,Glaucoma,0.03006,0.96994
480.jpg,Glaucoma,0.02858,0.97142
486.jpg,Glaucoma,0.84121,0.15879
490.jpg,Glaucoma,0.00113,0.99887
496.jpg,Glaucoma,0.17641,0.82359
505.jpg,Glaucoma,0.00120,0.99880
506.jpg,Glaucoma,0.99885,0.00115
507.jpg,Glaucoma,0.94082,0.05918
508.jpg,Glaucoma,0.67479,0.32521
511.jpg,Glaucoma,0.00184,0.99816
512.jpg,Glaucoma,0.96009,0.03991
514.jpg,Glaucoma,0.99250,0.00750
515.jpg,Glaucoma,0.99518,0.00482
516.jpg,Glaucoma,0.89368,0.10632
519.jpg,Glaucoma,0.94429,0.05571
523.jpg,Glaucoma,0.85389,0.14611
524.jpg,Glaucoma,0.94264,0.05736
528.jpg,Glaucoma,0.73208,0.26792
532.jpg,Glaucoma,0.38313,0.61687
533.jpg,Glaucoma,0.97531,0.02469
545.jpg,Glaucoma,0.01354,0.98646
549.jpg,Glaucoma,0.99981,0.00019
550.jpg,Glaucoma,0.99948,0.00052
556.jpg,Glaucoma,0.99982,0.00018
557.jpg,Glaucoma,0.00865,0.99135
558.jpg,Glaucoma,0.02271,0.97729
560.jpg,Glaucoma,0.02366,0.97634
571.jpg,Glaucoma,0.99790,0.00210
572.jpg,Glaucoma,0.99414,0.00586
578.jpg,Glaucoma,0.85910,0.14090
580.jpg,Glaucoma,0.89293,0.10707
582.jpg,Glaucoma,0.92384,0.07616
584.jpg,Glaucoma,0.98850,0.01150
586.jpg,Glaucoma,0.10670,0.89330
588.jpg,Glaucoma,0.99546,0.00454
589.jpg,Glaucoma,0.04033,0.95967
591.jpg,Glaucoma,0.95181,0.04819
592.jpg,Glaucoma,0.88835,0.11165
593.jpg,Glaucoma,0.99870,0.00130
595.jpg,Glaucoma,0.85223,0.14777
598.jpg,Glaucoma,0.00285,0.99715
600.jpg,Glaucoma,0.99264,0.00736
601.jpg,Glaucoma,0.06972,0.93028
604.jpg,Glaucoma,0.87450,0.12550
605.jpg,Glaucoma,0.98309,0.01691
608.jpg,Glaucoma,0.45987,0.54013
609.jpg,Glaucoma,0.83031,0.16969
612.jpg,Glaucoma,0.90537,0.09463
613.jpg,Glaucoma,0.99945,0.00055
615.jpg,Glaucoma,0.00140,0.99860
617.jpg,Glaucoma,0.99258,0.00742
618.jpg,Glaucoma,0.06843,0.93157
619.jpg,Glaucoma,0.86852,0.13148
621.jpg,Glaucoma,0.99368,0.00632
622.jpg,Glaucoma,0.69200,0.30800
623.jpg,Glaucoma,0.99700,0.00300
624.jpg,Glaucoma,0.99949,0.00051
626.jpg,Glaucoma,0.93612,0.06388
627.jpg,Glaucoma,0.53429,0.46571
628.jpg,Glaucoma,0.69648,0.30352
630.jpg,Glaucoma,0.20556,0.79444
631.jpg,Glaucoma,0.00011,0.99989
632.jpg,Glaucoma,0.30922,0.69078
634.jpg,Glaucoma,0.30380,0.69620
636.jpg,Glaucoma,0.10952,0.89048
638.jpg,Glaucoma,0.10150,0.89850
640.jpg,Glaucoma,0.01619,0.98381
641.jpg,Glaucoma,0.83929,0.16071
644.jpg,Glaucoma,0.99662,0.00338
645.jpg,Glaucoma,0.38826,0.61174
646.jpg,Glaucoma,0.38794,0.61206
647.jpg,Glaucoma,0.90529,0.09471
648.jpg,Glaucoma,0.78685,0.21315
650.jpg,Glaucoma,0.63117,0.36883
001.jpg,Healthy,0.99953,0.00047
002.jpg,Healthy,0.87960,0.12040
003.jpg,Healthy,0.14763,0.85237
004.jpg,Healthy,0.98027,0.01973
005.jpg,Healthy,0.58764,0.41236
006.jpg,Healthy,0.16145,0.83855
007.jpg,Healthy,0.55447,0.44553
008.jpg,Healthy,0.00340,0.99660
009.jpg,Healthy,0.08188,0.91812
010.jpg,Healthy,0.00016,0.99984
011.jpg,Healthy,0.00064,0.99936
012.jpg,Healthy,0.01288,0.98712
013.jpg,Healthy,0.00056,0.99944
014.jpg,Healthy,0.00004,0.99996
015.jpg,Healthy,0.01251,0.98749
016.jpg,Healthy,0.00009,0.99991
017.jpg,Healthy,0.80094,0.19906
018.jpg,Healthy,0.10409,0.89591
019.jpg,Healthy,0.00000,1.00000
020.jpg,Healthy,0.00000,1.00000
021.jpg,Healthy,0.10574,0.89426
022.jpg,Healthy,0.99925,0.00075
023.jpg,Healthy,0.45120,0.54880
024.jpg,Healthy,0.23608,0.76392
025.jpg,Healthy,0.07494,0.92506
026.jpg,Healthy,0.00031,0.99969
027.jpg,Healthy,0.00207,0.99793
028.jpg,Healthy,0.00079,0.99921
029.jpg,Healthy,0.04424,0.95576
030.jpg,Healthy,0.02501,0.97499
031.jpg,Healthy,0.67779,0.32221
032.jpg,Healthy,0.00001,0.99999
033.jpg,Healthy,0.00003,0.99997
034.jpg,Healthy,0.01193,0.98807
035.jpg,Healthy,0.00030,0.99970
038.jpg,Healthy,0.00532,0.99468
039.jpg,Healthy,0.00001,0.99999
040.jpg,Healthy,0.00002,0.99998
042.jpg,Healthy,0.00004,0.99996
043.jpg,Healthy,0.47457,0.52543
044.jpg,Healthy,0.00007,0.99993
045.jpg,Healthy,0.00070,0.99930
046.jpg,Healthy,0.00118,0.99882
047.jpg,Healthy,0.00118,0.99882
048.jpg,Healthy,0.00007,0.99993
049.jpg,Healthy,0.99358,0.00642
051.jpg,Healthy,0.01851,0.98149
052.jpg,Healthy,0.98675,0.01325
053.jpg,Healthy,0.21577,0.78423
054.jpg,Healthy,0.04814,0.95186
055.jpg,Healthy,0.00101,0.99899
056.jpg,Healthy,0.00294,0.99706
057.jpg,Healthy,0.00161,0.99839
058.jpg,Healthy,0.93912,0.06088
059.jpg,Healthy,0.00011,0.99989
060.jpg,Healthy,0.00003,0.99997
061.jpg,Healthy,0.00003,0.99997
062.jpg,Healthy,0.04525,0.95475
063.jpg,Healthy,0.00008,0.99992
064.jpg,Healthy,0.38658,0.61342
065.jpg,Healthy,0.00119,0.99881
066.jpg,Healthy,0.96324,0.03676
067.jpg,Healthy,0.95707,0.04293
068.jpg,Healthy,0.92405,0.07595
070.jpg,Healthy,0.84893,0.15107
071.jpg,Healthy,0.00263,0.99737
073.jpg,Healthy,0.07672,0.92328
074.jpg,Healthy,0.05596,0.94404
075.jpg,Healthy,0.88225,0.11775
077.jpg,Healthy,0.00085,0.99915
078.jpg,Healthy,0.00027,0.99973
079.jpg,Healthy,0.06627,0.93373
080.jpg,Healthy,0.26856,0.73144
081.jpg,Healthy,0.10441,0.89559
082.jpg,Healthy,0.00175,0.99825
083.jpg,Healthy,0.00004,0.99996
084.jpg,Healthy,0.00043,0.99957
085.jpg,Healthy,0.00085,0.99915
088.jpg,Healthy,0.00000,1.00000
089.jpg,Healthy,0.00000,1.00000
090.jpg,Healthy,0.99565,0.00435
091.jpg,Healthy,0.00001,0.99999
092.jpg,Healthy,0.00595,0.99405
095.jpg,Healthy,0.00038,0.99962
096.jpg,Healthy,0.00067,0.99933
098.jpg,Healthy,0.00367,0.99633
099.jpg,Healthy,0.75096,0.24904
100.jpg,Healthy,0.44574,0.55426
101.jpg,Healthy,0.01307,0.98693
102.jpg,Healthy,0.99115,0.00885
103.jpg,Healthy,0.17701,0.82299
104.jpg,Healthy,0.00776,0.99224
105.jpg,Healthy,0.18523,0.81477
106.jpg,Healthy,0.00001,0.99999
107.jpg,Healthy,0.00019,0.99981
108.jpg,Healthy,0.00002,0.99998
109.jpg,Healthy,0.00002,0.99998
111.jpg,Healthy,0.93870,0.06130
112.jpg,Healthy,0.00048,0.99952
113.jpg,Healthy,0.00021,0.99979
114.jpg,Healthy,0.00123,0.99877
115.jpg,Healthy,0.00073,0.99927
117.jpg,Healthy,0.00012,0.99988
118.jpg,Healthy,0.87684,0.12316
119.jpg,Healthy,0.01557,0.98443
120.jpg,Healthy,0.33497,0.66503
121.jpg,Healthy,0.00332,0.99668
122.jpg,Healthy,0.00007,0.99993
123.jpg,Healthy,0.00168,0.99832
124.jpg,Healthy,0.00463,0.99537
125.jpg,Healthy,0.01928,0.98072
126.jpg,Healthy,0.10289,0.89711
127.jpg,Healthy,0.00494,0.99506
128.jpg,Healthy,0.00001,0.99999
129.jpg,Healthy,0.00283,0.99717
130.jpg,Healthy,0.00309,0.99691
131.jpg,Healthy,0.00001,0.99999
132.jpg,Healthy,0.00004,0.99996
133.jpg,Healthy,0.63990,0.36010
134.jpg,Healthy,0.17387,0.82613
135.jpg,Healthy,0.00034,0.99966
136.jpg,Healthy,0.00304,0.99696
137.jpg,Healthy,0.03053,0.96947
139.jpg,Healthy,0.61793,0.38207
140.jpg,Healthy,0.00211,0.99789
141.jpg,Healthy,0.00124,0.99876
142.jpg,Healthy,0.56286,0.43714
143.jpg,Healthy,0.98499,0.01501
144.jpg,Healthy,0.00001,0.99999
145.jpg,Healthy,0.00062,0.99938
146.jpg,Healthy,0.00227,0.99773
147.jpg,Healthy,0.19106,0.80894
148.jpg,Healthy,0.09299,0.90701
149.jpg,Healthy,0.00009,0.99991
150.jpg,Healthy,0.00010,0.99990
151.jpg,Healthy,0.00111,0.99889
152.jpg,Healthy,0.00576,0.99424
153.jpg,Healthy,0.43904,0.56096
154.jpg,Healthy,0.00313,0.99687
155.jpg,Healthy,0.00086,0.99914
156.jpg,Healthy,0.02192,0.97808
157.jpg,Healthy,0.01873,0.98127
161.jpg,Healthy,0.98856,0.01144
162.jpg,Healthy,0.99121,0.00879
163.jpg,Healthy,0.00009,0.99991
164.jpg,Healthy,0.00022,0.99978
166.jpg,Healthy,0.01863,0.98137
167.jpg,Healthy,0.97602,0.02398
169.jpg,Healthy,0.14058,0.85942
170.jpg,Healthy,0.00197,0.99803
172.jpg,Healthy,0.98212,0.01788
173.jpg,Healthy,0.42064,0.57936
174.jpg,Healthy,0.20975,0.79025
175.jpg,Healthy,0.15536,0.84464
176.jpg,Healthy,0.99444,0.00556
177.jpg,Healthy,0.72725,0.27275
178.jpg,Healthy,0.99624,0.00376
179.jpg,Healthy,0.90523,0.09477
183.jpg,Healthy,0.00013,0.99987
184.jpg,Healthy,0.01212,0.98788
185.jpg,Healthy,0.53620,0.46380
186.jpg,Healthy,0.00002,0.99998
187.jpg,Healthy,0.00019,0.99981
188.jpg,Healthy,0.00001,0.99999
189.jpg,Healthy,0.00655,0.99345
190.jpg,Healthy,0.00061,0.99939
191.jpg,Healthy,0.00071,0.99929
192.jpg,Healthy,0.00074,0.99926
193.jpg,Healthy,0.90496,0.09504
194.jpg,Healthy,0.00005,0.99995
195.jpg,Healthy,0.01714,0.98286
196.jpg,Healthy,0.00061,0.99939
197.jpg,Healthy,0.96230,0.03770
198.jpg,Healthy,0.29861,0.70139
199.jpg,Healthy,0.01504,0.98496
200.jpg,Healthy,0.00178,0.99822
201.jpg,Healthy,0.00232,0.99768
202.jpg,Healthy,0.00067,0.99933
203.jpg,Healthy,0.00714,0.99286
204.jpg,Healthy,0.79161,0.20839
205.jpg,Healthy,0.12419,0.87581
206.jpg,Healthy,0.98769,0.01231
207.jpg,Healthy,0.99791,0.00209
209.jpg,Healthy,0.86607,0.13393
210.jpg,Healthy,0.12743,0.87257
211.jpg,Healthy,0.00416,0.99584
212.jpg,Healthy,0.00975,0.99025
214.jpg,Healthy,0.00049,0.99951
215.jpg,Healthy,0.01482,0.98518
216.jpg,Healthy,0.00546,0.99454
217.jpg,Healthy,0.05996,0.94004
218.jpg,Healthy,0.00174,0.99826
219.jpg,Healthy,0.00688,0.99312
220.jpg,Healthy,0.15261,0.84739
221.jpg,Healthy,0.00261,0.99739
222.jpg,Healthy,0.94341,0.05659
