image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.74706,0.25294
037.jpg,Glaucoma,0.59841,0.40159
041.jpg,Glaucoma,0.96403,0.03597
050.jpg,Glaucoma,0.96623,0.03377
069.jpg,Glaucoma,0.05604,0.94396
072.jpg,Glaucoma,0.01062,0.98938
076.jpg,Glaucoma,0.70193,0.29807
086.jpg,Glaucoma,0.31879,0.68121
087.jpg,Glaucoma,0.00318,0.99682
093.jpg,Glaucoma,0.98783,0.01217
094.jpg,Glaucoma,0.78498,0.21502
097.jpg,Glaucoma,0.24217,0.75783
110.jpg,Glaucoma,0.84387,0.15613
116.jpg,Glaucoma,0.07158,0.92842
138.jpg,Glaucoma,0.00045,0.99955
158.jpg,Glaucoma,1.00000,0.00000
159.jpg,Glaucoma,0.99915,0.00085
160.jpg,Glaucoma,0.94599,0.05401
165.jpg,Glaucoma,0.32781,0.67219
168.jpg,Glaucoma,0.16574,0.83426
171.jpg,Glaucoma,0.00224,0.99776
180.jpg,Glaucoma,0.14358,0.85642
181.jpg,Glaucoma,0.17556,0.82444
182.jpg,Glaucoma,0.52499,0.47501
208.jpg,Glaucoma,0.99480,0.00520
213.jpg,Glaucoma,0.05947,0.94053
225.jpg,Glaucoma,0.03149,0.96851
228.jpg,Glaucoma,0.91605,0.08395
229.jpg,Glaucoma,0.10283,0.89717
233.jpg,Glaucoma,0.99987,0.00013
240.jpg,Glaucoma,0.01103,0.98897
241.jpg,Glaucoma,0.46898,0.53102
245.jpg,Glaucoma,0.92998,0.07002
246.jpg,Glaucoma,0.99100,0.00900
247.jpg,Glaucoma,0.05178,0.94822
269.jpg,Glaucoma,0.20547,0.79453
270.jpg,Glaucoma,0.02362,0.97638
273.jpg,Glaucoma,0.61634,0.38366
277.jpg,Glaucoma,0.84442,0.15558
278.jpg,Glaucoma,0.39283,0.60717
283.jpg,Glaucoma,0.69871,0.30129
284.jpg,Glaucoma,0.77219,0.22781
285.jpg,Glaucoma,0.82548,0.17452
286.jpg,Glaucoma,0.26550,0.73450
289.jpg,Glaucoma,0.49643,0.50357
293.jpg,Glaucoma,0.73210,0.26790
294.jpg,Glaucoma,0.72760,0.27240
300.jpg,Glaucoma,0.75437,0.24563
301.jpg,Glaucoma,0.77900,0.22100
304.jpg,Glaucoma,0.01032,0.98968
305.jpg,Glaucoma,0.82844,0.17156
306.jpg,Glaucoma,0.00986,0.99014
312.jpg,Glaucoma,0.60707,0.39293
317.jpg,Glaucoma,0.70189,0.29811
322.jpg,Glaucoma,0.18654,0.81346
327.jpg,Glaucoma,0.62343,0.37657
330.jpg,Glaucoma,0.21309,0.78691
336.jpg,Glaucoma,0.01829,0.98171
337.jpg,Glaucoma,0.00760,0.99240
340.jpg,Glaucoma,0.99888,0.00112
345.jpg,Glaucoma,0.13405,0.86595
348.jpg,Glaucoma,0.38760,0.61240
349.jpg,Glaucoma,0.53510,0.46490
353.jpg,Glaucoma,0.13193,0.86807
354.jpg,Glaucoma,0.98136,0.01864
359.jpg,Glaucoma,0.01396,0.98604
362.jpg,Glaucoma,0.74037,0.25963
366.jpg,Glaucoma,0.86070,0.13930
377.jpg,Glaucoma,0.81883,0.18117
381.jpg,Glaucoma,0.00503,0.99497
382.jpg,Glaucoma,0.03126,0.96874
383.jpg,Glaucoma,0.05422,0.94578
385.jpg,Glaucoma,0.49012,0.50988
386.jpg,Glaucoma,0.00012,0.99988
389.jpg,Glaucoma,0.99358,0.00642
390.jpg,Glaucoma,0.97077,0.02923
395.jpg,Glaucoma,0.97380,0.02620
398.jpg,Glaucoma,0.01041,0.98959
402.jpg,Glaucoma,0.01262,0.98738
407.jpg,Glaucoma,0.99830,0.00170
419.jpg,Glaucoma,0.01221,0.98779
424.jpg,Glaucoma,0.20370,0.79630
426.jpg,Glaucoma,0.50084,0.49916
429.jpg,Glaucoma,0.01578,0.98422
432.jpg,Glaucoma,0.32220,0.67780
433.jpg,Glaucoma,0.28661,0.71339
439.jpg,Glaucoma,0.19890,0.80110
440.jpg,Glaucoma,0.99999,0.00001
441.jpg,Glaucoma,0.99997,0.00003
442.jpg,Glaucoma,0.33210,0.66790
457.jpg,Glaucoma,0.74359,0.25641
458.jpg,Glaucoma,0.93914,0.06086
465.jpg,Glaucoma,0.68661,0.31339
468.jpg,Glaucoma,0.03548,0.96452
474.jpg,Glaucoma,0.00713,0.99287
480.jpg,Glaucoma,0.30016,0.69984
486.jpg,Glaucoma,0.24549,0.75451
490.jpg,Glaucoma,0.83919,0.16081
496.jpg,Glaucoma,0.06082,0.93918
505.jpg,Glaucoma,0.00022,0.99978
506.jpg,Glaucoma,0.94451,0.05549
507.jpg,Glaucoma,0.01414,0.98586
508.jpg,Glaucoma,0.02041,0.97959
511.jpg,Glaucoma,0.07139,0.92861
512.jpg,Glaucoma,0.20341,0.79659
514.jpg,Glaucoma,0.68558,0.31442
515.jpg,Glaucoma,0.96714,0.03286
516.jpg,Glaucoma,0.82778,0.17222
519.jpg,Glaucoma,0.84248,0.15752
523.jpg,Glaucoma,0.60672,0.39328
524.jpg,Glaucoma,0.85807,0.14193
528.jpg,Glaucoma,0.98886,0.01114
532.jpg,Glaucoma,0.08704,0.91296
533.jpg,Glaucoma,0.99915,0.00085
545.jpg,Glaucoma,0.00480,0.99520
549.jpg,Glaucoma,0.96440,0.03560
550.jpg,Glaucoma,0.72711,0.27289
556.jpg,Glaucoma,0.91346,0.08654
557.jpg,Glaucoma,0.98216,0.01784
558.jpg,Glaucoma,0.28772,0.71228
560.jpg,Glaucoma,0.06953,0.93047
571.jpg,Glaucoma,0.96588,0.03412
572.jpg,Glaucoma,0.01520,0.98480
578.jpg,Glaucoma,0.99915,0.00085
580.jpg,Glaucoma,0.18216,0.81784
582.jpg,Glaucoma,0.99752,0.00248
584.jpg,Glaucoma,0.20712,0.79288
586.jpg,Glaucoma,0.23810,0.76190
588.jpg,Glaucoma,1.00000,0.00000
589.jpg,Glaucoma,0.00024,0.99976
591.jpg,Glaucoma,0.46777,0.53223
592.jpg,Glaucoma,0.07145,0.92855
593.jpg,Glaucoma,0.97982,0.02018
595.jpg,Glaucoma,0.01059,0.98941
598.jpg,Glaucoma,0.21781,0.78219
600.jpg,Glaucoma,0.85635,0.14365
601.jpg,Glaucoma,0.24198,0.75802
604.jpg,Glaucoma,0.94434,0.05566
605.jpg,Glaucoma,0.89568,0.10432
608.jpg,Glaucoma,0.45781,0.54219
609.jpg,Glaucoma,0.64569,0.35431
612.jpg,Glaucoma,0.98506,0.01494
613.jpg,Glaucoma,0.52939,0.47061
615.jpg,Glaucoma,0.14941,0.85059
617.jpg,Glaucoma,0.03315,0.96685
618.jpg,Glaucoma,0.04701,0.95299
619.jpg,Glaucoma,0.35010,0.64990
621.jpg,Glaucoma,0.98951,0.01049
622.jpg,Glaucoma,0.04822,0.95178
623.jpg,Glaucoma,0.24822,0.75178
624.jpg,Glaucoma,0.69219,0.30781
626.jpg,Glaucoma,0.36559,0.63441
627.jpg,Glaucoma,0.99101,0.00899
628.jpg,Glaucoma,0.95750,0.04250
630.jpg,Glaucoma,0.82114,0.17886
631.jpg,Glaucoma,0.65946,0.34054
632.jpg,Glaucoma,0.69279,0.30721
634.jpg,Glaucoma,0.26046,0.73954
636.jpg,Glaucoma,0.41105,0.58895
638.jpg,Glaucoma,0.76480,0.23520
640.jpg,Glaucoma,0.98938,0.01062
641.jpg,Glaucoma,0.20023,0.79977
644.jpg,Glaucoma,0.99978,0.00022
645.jpg,Glaucoma,0.73087,0.26913
646.jpg,Glaucoma,0.14103,0.85897
647.jpg,Glaucoma,0.07938,0.92062
648.jpg,Glaucoma,0.40741,0.59259
650.jpg,Glaucoma,0.25141,0.74859
001.jpg,Healthy,0.50470,0.49530
002.jpg,Healthy,0.89161,0.10839
