image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.62525,0.37475
037.jpg,Glaucoma,0.97598,0.02402
041.jpg,Glaucoma,0.23908,0.76092
050.jpg,Glaucoma,0.24960,0.75040
069.jpg,Glaucoma,0.02259,0.97741
072.jpg,Glaucoma,0.00023,0.99977
076.jpg,Glaucoma,0.79909,0.20091
086.jpg,Glaucoma,0.63108,0.36892
087.jpg,Glaucoma,0.00237,0.99763
093.jpg,Glaucoma,0.99994,0.00006
094.jpg,Glaucoma,0.96860,0.03140
097.jpg,Glaucoma,0.04301,0.95699
110.jpg,Glaucoma,0.64837,0.35163
116.jpg,Glaucoma,0.02980,0.97020
138.jpg,Glaucoma,0.01449,0.98551
158.jpg,Glaucoma,0.99995,0.00005
159.jpg,Glaucoma,0.99961,0.00039
160.jpg,Glaucoma,0.96857,0.03143
165.jpg,Glaucoma,0.25573,0.74427
168.jpg,Glaucoma,0.99535,0.00465
171.jpg,Glaucoma,0.00105,0.99895
180.jpg,Glaucoma,0.03061,0.96939
181.jpg,Glaucoma,0.02015,0.97985
182.jpg,Glaucoma,0.04914,0.95086
208.jpg,Glaucoma,0.99998,0.00002
213.jpg,Glaucoma,0.05344,0.94656
225.jpg,Glaucoma,0.08578,0.91422
228.jpg,Glaucoma,0.01054,0.98946
229.jpg,Glaucoma,0.29182,0.70818
233.jpg,Glaucoma,0.99929,0.00071
240.jpg,Glaucoma,0.00504,0.99496
241.jpg,Glaucoma,0.07369,0.92631
245.jpg,Glaucoma,0.14483,0.85517
246.jpg,Glaucoma,0.97910,0.02090
247.jpg,Glaucoma,0.00011,0.99989
269.jpg,Glaucoma,0.59163,0.40837
270.jpg,Glaucoma,0.00355,0.99645
273.jpg,Glaucoma,0.41390,0.58610
277.jpg,Glaucoma,0.50119,0.49881
278.jpg,Glaucoma,0.49929,0.50071
283.jpg,Glaucoma,0.00186,0.99814
284.jpg,Glaucoma,0.53267,0.46733
285.jpg,Glaucoma,0.17304,0.82696
286.jpg,Glaucoma,0.09043,0.90957
289.jpg,Glaucoma,0.99663,0.00337
293.jpg,Glaucoma,0.35256,0.64744
294.jpg,Glaucoma,0.10199,0.89801
300.jpg,Glaucoma,0.21319,0.78681
301.jpg,Glaucoma,0.35679,0.64321
304.jpg,Glaucoma,0.00028,0.99972
305.jpg,Glaucoma,0.99181,0.00819
306.jpg,Glaucoma,0.00765,0.99235
312.jpg,Glaucoma,0.00198,0.99802
317.jpg,Glaucoma,0.00733,0.99267
322.jpg,Glaucoma,0.70595,0.29405
327.jpg,Glaucoma,0.52573,0.47427
330.jpg,Glaucoma,0.00007,0.99993
336.jpg,Glaucoma,0.02792,0.97208
337.jpg,Glaucoma,0.00164,0.99836
340.jpg,Glaucoma,0.99997,0.00003
345.jpg,Glaucoma,0.02661,0.97339
348.jpg,Glaucoma,0.07210,0.92790
349.jpg,Glaucoma,0.02929,0.97071
353.jpg,Glaucoma,0.00596,0.99404
354.jpg,Glaucoma,0.68758,0.31242
359.jpg,Glaucoma,0.02585,0.97415
362.jpg,Glaucoma,0.91706,0.08294
366.jpg,Glaucoma,0.83523,0.16477
377.jpg,Glaucoma,0.17009,0.82991
381.jpg,Glaucoma,0.77875,0.22125
382.jpg,Glaucoma,0.10689,0.89311
383.jpg,Glaucoma,0.10002,0.89998
385.jpg,Glaucoma,0.01228,0.98772
386.jpg,Glaucoma,0.00007,0.99993
389.jpg,Glaucoma,0.99988,0.00012
390.jpg,Glaucoma,1.00000,0.00000
395.jpg,Glaucoma,0.31788,0.68212
398.jpg,Glaucoma,0.05087,0.94913
402.jpg,Glaucoma,0.03365,0.96635
407.jpg,Glaucoma,0.99996,0.00004
419.jpg,Glaucoma,0.00155,0.99845
424.jpg,Glaucoma,0.14827,0.85173
426.jpg,Glaucoma,0.26923,0.73077
429.jpg,Glaucoma,0.93396,0.06604
432.jpg,Glaucoma,0.96107,0.03893
433.jpg,Glaucoma,0.83208,0.16792
439.jpg,Glaucoma,0.00670,0.99330
440.jpg,Glaucoma,0.99996,0.00004
441.jpg,Glaucoma,0.99998,0.00002
442.jpg,Glaucoma,0.26914,0.73086
457.jpg,Glaucoma,0.99545,0.00455
458.jpg,Glaucoma,0.98299,0.01701
