image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.90528,0.09472
037.jpg,Glaucoma,0.27411,0.72589
041.jpg,Glaucoma,0.58829,0.41171
050.jpg,Glaucoma,0.79876,0.20124
069.jpg,Glaucoma,0.99945,0.00055
072.jpg,Glaucoma,0.05192,0.94808
076.jpg,Glaucoma,0.50584,0.49416
086.jpg,Glaucoma,0.61292,0.38708
087.jpg,Glaucoma,0.55575,0.44425
093.jpg,Glaucoma,0.90825,0.09175
094.jpg,Glaucoma,0.95956,0.04044
097.jpg,Glaucoma,0.99950,0.00050
110.jpg,Glaucoma,0.99017,0.00983
116.jpg,Glaucoma,0.90024,0.09976
138.jpg,Glaucoma,0.04440,0.95560
158.jpg,Glaucoma,0.99688,0.00312
159.jpg,Glaucoma,0.99837,0.00163
160.jpg,Glaucoma,0.99752,0.00248
165.jpg,Glaucoma,0.99686,0.00314
168.jpg,Glaucoma,0.98218,0.01782
171.jpg,Glaucoma,0.05770,0.94230
180.jpg,Glaucoma,0.29843,0.70157
181.jpg,Glaucoma,0.19849,0.80151
182.jpg,Glaucoma,0.17482,0.82518
208.jpg,Glaucoma,0.99773,0.00227
213.jpg,Glaucoma,0.68651,0.31349
225.jpg,Glaucoma,0.99376,0.00624
228.jpg,Glaucoma,0.91571,0.08429
229.jpg,Glaucoma,0.79372,0.20628
233.jpg,Glaucoma,0.99401,0.00599
240.jpg,Glaucoma,0.81345,0.18655
241.jpg,Glaucoma,0.98329,0.01671
245.jpg,Glaucoma,0.90690,0.09310
246.jpg,Glaucoma,0.62904,0.37096
247.jpg,Glaucoma,0.64234,0.35766
269.jpg,Glaucoma,0.97439,0.02561
270.jpg,Glaucoma,0.96860,0.03140
273.jpg,Glaucoma,0.92715,0.07285
277.jpg,Glaucoma,0.98864,0.01136
278.jpg,Glaucoma,0.83524,0.16476
283.jpg,Glaucoma,0.99778,0.00222
284.jpg,Glaucoma,0.99998,0.00002
285.jpg,Glaucoma,0.88712,0.11288
286.jpg,Glaucoma,0.35977,0.64023
289.jpg,Glaucoma,0.99916,0.00084
293.jpg,Glaucoma,0.99820,0.00180
294.jpg,Glaucoma,0.97102,0.02898
300.jpg,Glaucoma,0.93022,0.06978
301.jpg,Glaucoma,0.87153,0.12847
304.jpg,Glaucoma,0.01692,0.98308
305.jpg,Glaucoma,0.39560,0.60440
306.jpg,Glaucoma,0.81802,0.18198
312.jpg,Glaucoma,0.36506,0.63494
317.jpg,Glaucoma,0.82294,0.17706
322.jpg,Glaucoma,0.40001,0.59999
327.jpg,Glaucoma,1.00000,0.00000
330.jpg,Glaucoma,0.49966,0.50034
336.jpg,Glaucoma,0.94347,0.05653
337.jpg,Glaucoma,0.31615,0.68385
340.jpg,Glaucoma,0.76107,0.23893
345.jpg,Glaucoma,0.13544,0.86456
348.jpg,Glaucoma,0.92769,0.07231
349.jpg,Glaucoma,0.26976,0.73024
353.jpg,Glaucoma,0.62606,0.37394
354.jpg,Glaucoma,0.78652,0.21348
359.jpg,Glaucoma,0.00252,0.99748
362.jpg,Glaucoma,0.07027,0.92973
366.jpg,Glaucoma,0.94837,0.05163
377.jpg,Glaucoma,0.97303,0.02697
381.jpg,Glaucoma,0.98256,0.01744
382.jpg,Glaucoma,0.89375,0.10625
383.jpg,Glaucoma,0.91780,0.08220
385.jpg,Glaucoma,0.33009,0.66991
386.jpg,Glaucoma,0.01745,0.98255
389.jpg,Glaucoma,0.99362,0.00638
390.jpg,Glaucoma,0.99969,0.00031
395.jpg,Glaucoma,0.93307,0.06693
398.jpg,Glaucoma,0.53491,0.46509
402.jpg,Glaucoma,0.99927,0.00073
407.jpg,Glaucoma,0.99753,0.00247
419.jpg,Glaucoma,0.65005,0.34995
424.jpg,Glaucoma,0.99082,0.00918
426.jpg,Glaucoma,0.89065,0.10935
429.jpg,Glaucoma,0.98083,0.01917
