image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.99030,0.00970
037.jpg,Glaucoma,0.78597,0.21403
041.jpg,Glaucoma,0.64511,0.35489
050.jpg,Glaucoma,0.98904,0.01096
069.jpg,Glaucoma,0.99999,0.00001
072.jpg,Glaucoma,0.41140,0.58860
076.jpg,Glaucoma,0.67425,0.32575
086.jpg,Glaucoma,0.99590,0.00410
087.jpg,Glaucoma,0.99973,0.00027
093.jpg,Glaucoma,0.99979,0.00021
094.jpg,Glaucoma,1.00000,0.00000
097.jpg,Glaucoma,0.99911,0.00089
110.jpg,Glaucoma,0.99996,0.00004
116.jpg,Glaucoma,0.99928,0.00072
138.jpg,Glaucoma,0.05423,0.94577
158.jpg,Glaucoma,0.99977,0.00023
159.jpg,Glaucoma,0.99997,0.00003
160.jpg,Glaucoma,0.99992,0.00008
165.jpg,Glaucoma,0.99592,0.00408
168.jpg,Glaucoma,0.99966,0.00034
171.jpg,Glaucoma,0.00369,0.99631
180.jpg,Glaucoma,0.06705,0.93295
181.jpg,Glaucoma,0.02971,0.97029
182.jpg,Glaucoma,0.07786,0.92214
208.jpg,Glaucoma,1.00000,0.00000
213.jpg,Glaucoma,0.67636,0.32364
225.jpg,Glaucoma,0.00654,0.99346
228.jpg,Glaucoma,0.80222,0.19778
229.jpg,Glaucoma,0.95299,0.04701
233.jpg,Glaucoma,0.99771,0.00229
240.jpg,Glaucoma,0.99264,0.00736
241.jpg,Glaucoma,0.99502,0.00498
245.jpg,Glaucoma,0.97763,0.02237
246.jpg,Glaucoma,0.99900,0.00100
247.jpg,Glaucoma,0.96825,0.03175
269.jpg,Glaucoma,0.99999,0.00001
270.jpg,Glaucoma,0.99993,0.00007
273.jpg,Glaucoma,0.91139,0.08861
277.jpg,Glaucoma,0.99999,0.00001
278.jpg,Glaucoma,0.99505,0.00495
283.jpg,Glaucoma,0.99837,0.00163
284.jpg,Glaucoma,0.99988,0.00012
285.jpg,Glaucoma,0.97610,0.02390
286.jpg,Glaucoma,0.95067,0.04933
289.jpg,Glaucoma,1.00000,0.00000
293.jpg,Glaucoma,0.99256,0.00744
294.jpg,Glaucoma,1.00000,0.00000
300.jpg,Glaucoma,0.99485,0.00515
301.jpg,Glaucoma,0.98924,0.01076
304.jpg,Glaucoma,0.00785,0.99215
305.jpg,Glaucoma,0.81454,0.18546
306.jpg,Glaucoma,0.21844,0.78156
312.jpg,Glaucoma,0.99227,0.00773
317.jpg,Glaucoma,0.98443,0.01557
322.jpg,Glaucoma,0.96631,0.03369
327.jpg,Glaucoma,1.00000,0.00000
330.jpg,Glaucoma,0.77079,0.22921
336.jpg,Glaucoma,0.93201,0.06799
337.jpg,Glaucoma,0.02551,0.97449
340.jpg,Glaucoma,0.84784,0.15216
345.jpg,Glaucoma,0.00066,0.99934
348.jpg,Glaucoma,0.99979,0.00021
349.jpg,Glaucoma,0.96960,0.03040
353.jpg,Glaucoma,0.99992,0.00008
354.jpg,Glaucoma,0.99557,0.00443
359.jpg,Glaucoma,0.00328,0.99672
362.jpg,Glaucoma,0.92548,0.07452
366.jpg,Glaucoma,0.99769,0.00231
377.jpg,Glaucoma,0.84295,0.15705
381.jpg,Glaucoma,0.99892,0.00108
382.jpg,Glaucoma,0.99902,0.00098
383.jpg,Glaucoma,0.99827,0.00173
385.jpg,Glaucoma,0.95676,0.04324
386.jpg,Glaucoma,0.79937,0.20063
389.jpg,Glaucoma,0.99984,0.00016
390.jpg,Glaucoma,1.00000,0.00000
395.jpg,Glaucoma,0.95701,0.04299
398.jpg,Glaucoma,0.97612,0.02388
402.jpg,Glaucoma,0.99935,0.00065
407.jpg,Glaucoma,0.99965,0.00035
419.jpg,Glaucoma,0.45855,0.54145
424.jpg,Glaucoma,0.99986,0.00014
426.jpg,Glaucoma,0.30912,0.69088
429.jpg,Glaucoma,0.97562,0.02438
432.jpg,Glaucoma,0.54805,0.45195
433.jpg,Glaucoma,0.16579,0.83421
439.jpg,Glaucoma,0.75108,0.24892
440.jpg,Glaucoma,1.00000,0.00000
441.jpg,Glaucoma,1.00000,0.00000
442.jpg,Glaucoma,0.42361,0.57639
457.jpg,Glaucoma,0.99977,0.00023
458.jpg,Glaucoma,1.00000,0.00000
465.jpg,Glaucoma,0.96971,0.03029
468.jpg,Glaucoma,0.99958,0.00042
474.jpg,Glaucoma,0.97540,0.02460
480.jpg,Glaucoma,0.99346,0.00654
486.jpg,Glaucoma,0.88759,0.11241
490.jpg,Glaucoma,0.77135,0.22865
496.jpg,Glaucoma,0.94130,0.05870
505.jpg,Glaucoma,0.22067,0.77933
506.jpg,Glaucoma,1.00000,0.00000
507.jpg,Glaucoma,0.99789,0.00211
508.jpg,Glaucoma,0.07666,0.92334
511.jpg,Glaucoma,0.75550,0.24450
512.jpg,Glaucoma,0.99982,0.00018
514.jpg,Glaucoma,0.99555,0.00445
515.jpg,Glaucoma,0.99965,0.00035
516.jpg,Glaucoma,0.94914,0.05086
519.jpg,Glaucoma,0.93973,0.06027
523.jpg,Glaucoma,0.17628,0.82372
524.jpg,Glaucoma,0.10725,0.89275
528.jpg,Glaucoma,0.99965,0.00035
532.jpg,Glaucoma,0.45407,0.54593
533.jpg,Glaucoma,0.99950,0.00050
545.jpg,Glaucoma,0.97184,0.02816
549.jpg,Glaucoma,0.99882,0.00118
550.jpg,Glaucoma,0.99999,0.00001
556.jpg,Glaucoma,0.99998,0.00002
557.jpg,Glaucoma,0.99992,0.00008
558.jpg,Glaucoma,0.95721,0.04279
560.jpg,Glaucoma,0.09186,0.90814
571.jpg,Glaucoma,0.96510,0.03490
572.jpg,Glaucoma,0.86621,0.13379
578.jpg,Glaucoma,0.99993,0.00007
580.jpg,Glaucoma,0.99853,0.00147
582.jpg,Glaucoma,0.97235,0.02765
584.jpg,Glaucoma,0.99992,0.00008
586.jpg,Glaucoma,0.02271,0.97729
588.jpg,Glaucoma,1.00000,0.00000
589.jpg,Glaucoma,0.00888,0.99112
591.jpg,Glaucoma,0.69537,0.30463
592.jpg,Glaucoma,0.78190,0.21810
593.jpg,Glaucoma,0.99798,0.00202
595.jpg,Glaucoma,0.97825,0.02175
598.jpg,Glaucoma,0.82756,0.17244
600.jpg,Glaucoma,0.99999,0.00001
