image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.38949,0.61051
037.jpg,Glaucoma,0.87335,0.12665
041.jpg,Glaucoma,0.02024,0.97976
050.jpg,Glaucoma,0.70072,0.29928
069.jpg,Glaucoma,0.45263,0.54737
072.jpg,Glaucoma,0.12745,0.87255
076.jpg,Glaucoma,0.96553,0.03447
086.jpg,Glaucoma,0.41439,0.58561
087.jpg,Glaucoma,0.11223,0.88777
093.jpg,Glaucoma,0.41030,0.58970
094.jpg,Glaucoma,0.30699,0.69301
097.jpg,Glaucoma,0.89095,0.10905
110.jpg,Glaucoma,0.02402,0.97598
116.jpg,Glaucoma,0.13620,0.86380
138.jpg,Glaucoma,0.16181,0.83819
158.jpg,Glaucoma,0.67833,0.32167
159.jpg,Glaucoma,0.46055,0.53945
160.jpg,Glaucoma,0.43192,0.56808
165.jpg,Glaucoma,0.70912,0.29088
168.jpg,Glaucoma,0.42920,0.57080
171.jpg,Glaucoma,0.00788,0.99212
180.jpg,Glaucoma,0.36430,0.63570
181.jpg,Glaucoma,0.33372,0.66628
182.jpg,Glaucoma,0.36949,0.63051
208.jpg,Glaucoma,0.35873,0.64127
213.jpg,Glaucoma,0.18938,0.81062
225.jpg,Glaucoma,0.31252,0.68748
228.jpg,Glaucoma,0.10450,0.89550
229.jpg,Glaucoma,0.26843,0.73157
233.jpg,Glaucoma,0.12929,0.87071
240.jpg,Glaucoma,0.49754,0.50246
241.jpg,Glaucoma,0.42148,0.57852
245.jpg,Glaucoma,0.45351,0.54649
246.jpg,Glaucoma,0.01034,0.98966
247.jpg,Glaucoma,0.50094,0.49906
269.jpg,Glaucoma,0.12772,0.87228
270.jpg,Glaucoma,0.06443,0.93557
273.jpg,Glaucoma,0.09589,0.90411
277.jpg,Glaucoma,0.29282,0.70718
278.jpg,Glaucoma,0.85186,0.14814
283.jpg,Glaucoma,0.36968,0.63032
284.jpg,Glaucoma,0.79800,0.20200
285.jpg,Glaucoma,0.65905,0.34095
286.jpg,Glaucoma,0.42067,0.57933
289.jpg,Glaucoma,0.46705,0.53295
293.jpg,Glaucoma,0.41436,0.58564
294.jpg,Glaucoma,0.63077,0.36923
300.jpg,Glaucoma,0.71388,0.28612
301.jpg,Glaucoma,0.54221,0.45779
304.jpg,Glaucoma,0.07849,0.92151
305.jpg,Glaucoma,0.07509,0.92491
306.jpg,Glaucoma,0.25163,0.74837
312.jpg,Glaucoma,0.09921,0.90079
317.jpg,Glaucoma,0.32991,0.67009
322.jpg,Glaucoma,0.51447,0.48553
327.jpg,Glaucoma,0.27330,0.72670
330.jpg,Glaucoma,0.06340,0.93660
336.jpg,Glaucoma,0.52773,0.47227
337.jpg,Glaucoma,0.68680,0.31320
340.jpg,Glaucoma,0.35373,0.64627
345.jpg,Glaucoma,0.29955,0.70045
348.jpg,Glaucoma,0.90714,0.09286
349.jpg,Glaucoma,0.10122,0.89878
353.jpg,Glaucoma,0.65458,0.34542
354.jpg,Glaucoma,0.68494,0.31506
359.jpg,Glaucoma,0.86811,0.13189
362.jpg,Glaucoma,0.70380,0.29620
366.jpg,Glaucoma,0.16436,0.83564
377.jpg,Glaucoma,0.93544,0.06456
381.jpg,Glaucoma,0.51174,0.48826
382.jpg,Glaucoma,0.06826,0.93174
383.jpg,Glaucoma,0.25876,0.74124
385.jpg,Glaucoma,0.19507,0.80493
386.jpg,Glaucoma,0.13538,0.86462
389.jpg,Glaucoma,0.56082,0.43918
390.jpg,Glaucoma,0.42072,0.57928
395.jpg,Glaucoma,0.10615,0.89385
398.jpg,Glaucoma,0.01521,0.98479
402.jpg,Glaucoma,0.63001,0.36999
407.jpg,Glaucoma,0.15020,0.84980
419.jpg,Glaucoma,0.57030,0.42970
424.jpg,Glaucoma,0.72748,0.27252
426.jpg,Glaucoma,0.77075,0.22925
