image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.71194,0.28806
037.jpg,Glaucoma,0.81159,0.18841
041.jpg,Glaucoma,0.37007,0.62993
050.jpg,Glaucoma,0.65662,0.34338
069.jpg,Glaucoma,0.60084,0.39916
072.jpg,Glaucoma,0.02697,0.97303
076.jpg,Glaucoma,0.78906,0.21094
086.jpg,Glaucoma,0.05969,0.94031
087.jpg,Glaucoma,0.01231,0.98769
093.jpg,Glaucoma,0.14588,0.85412
094.jpg,Glaucoma,0.09000,0.91000
097.jpg,Glaucoma,0.85880,0.14120
110.jpg,Glaucoma,0.08592,0.91408
116.jpg,Glaucoma,0.02463,0.97537
138.jpg,Glaucoma,0.14847,0.85153
158.jpg,Glaucoma,0.70285,0.29715
159.jpg,Glaucoma,0.76136,0.23864
160.jpg,Glaucoma,0.63434,0.36566
165.jpg,Glaucoma,0.70696,0.29304
168.jpg,Glaucoma,0.37903,0.62097
171.jpg,Glaucoma,0.00649,0.99351
180.jpg,Glaucoma,0.22255,0.77745
181.jpg,Glaucoma,0.17107,0.82893
182.jpg,Glaucoma,0.27868,0.72132
208.jpg,Glaucoma,0.45715,0.54285
213.jpg,Glaucoma,0.07884,0.92116
225.jpg,Glaucoma,0.23039,0.76961
228.jpg,Glaucoma,0.08845,0.91155
229.jpg,Glaucoma,0.48664,0.51336
233.jpg,Glaucoma,0.13573,0.86427
240.jpg,Glaucoma,0.79551,0.20449
241.jpg,Glaucoma,0.29191,0.70809
245.jpg,Glaucoma,0.21067,0.78933
246.jpg,Glaucoma,0.05315,0.94685
247.jpg,Glaucoma,0.41484,0.58516
269.jpg,Glaucoma,0.05759,0.94241
270.jpg,Glaucoma,0.14874,0.85126
273.jpg,Glaucoma,0.17736,0.82264
277.jpg,Glaucoma,0.21997,0.78003
278.jpg,Glaucoma,0.89069,0.10931
283.jpg,Glaucoma,0.28431,0.71569
284.jpg,Glaucoma,0.77821,0.22179
285.jpg,Glaucoma,0.57696,0.42304
286.jpg,Glaucoma,0.13916,0.86084
289.jpg,Glaucoma,0.54688,0.45312
293.jpg,Glaucoma,0.03741,0.96259
294.jpg,Glaucoma,0.46408,0.53592
300.jpg,Glaucoma,0.27727,0.72273
301.jpg,Glaucoma,0.79984,0.20016
304.jpg,Glaucoma,0.04868,0.95132
305.jpg,Glaucoma,0.30102,0.69898
306.jpg,Glaucoma,0.59809,0.40191
312.jpg,Glaucoma,0.01155,0.98845
317.jpg,Glaucoma,0.04192,0.95808
322.jpg,Glaucoma,0.30960,0.69040
327.jpg,Glaucoma,0.37564,0.62436
330.jpg,Glaucoma,0.01916,0.98084
336.jpg,Glaucoma,0.65801,0.34199
337.jpg,Glaucoma,0.70256,0.29744
340.jpg,Glaucoma,0.69164,0.30836
345.jpg,Glaucoma,0.22200,0.77800
348.jpg,Glaucoma,0.83682,0.16318
349.jpg,Glaucoma,0.05818,0.94182
353.jpg,Glaucoma,0.24687,0.75313
354.jpg,Glaucoma,0.33189,0.66811
359.jpg,Glaucoma,0.02805,0.97195
362.jpg,Glaucoma,0.68577,0.31423
366.jpg,Glaucoma,0.55536,0.44464
377.jpg,Glaucoma,0.74557,0.25443
381.jpg,Glaucoma,0.35393,0.64607
382.jpg,Glaucoma,0.08951,0.91049
383.jpg,Glaucoma,0.32209,0.67791
385.jpg,Glaucoma,0.05436,0.94564
386.jpg,Glaucoma,0.04344,0.95656
389.jpg,Glaucoma,0.19557,0.80443
390.jpg,Glaucoma,0.70163,0.29837
395.jpg,Glaucoma,0.08286,0.91714
398.jpg,Glaucoma,0.03583,0.96417
402.jpg,Glaucoma,0.46505,0.53495
407.jpg,Glaucoma,0.65740,0.34260
419.jpg,Glaucoma,0.20221,0.79779
424.jpg,Glaucoma,0.85049,0.14951
426.jpg,Glaucoma,0.36066,0.63934
429.jpg,Glaucoma,0.23115,0.76885
432.jpg,Glaucoma,0.53896,0.46104
433.jpg,Glaucoma,0.54530,0.45470
439.jpg,Glaucoma,0.31079,0.68921
440.jpg,Glaucoma,0.88582,0.11418
441.jpg,Glaucoma,0.36159,0.63841
442.jpg,Glaucoma,0.87900,0.12100
457.jpg,Glaucoma,0.22677,0.77323
458.jpg,Glaucoma,0.37594,0.62406
465.jpg,Glaucoma,0.26516,0.73484
468.jpg,Glaucoma,0.15683,0.84317
474.jpg,Glaucoma,0.18296,0.81704
480.jpg,Glaucoma,0.04872,0.95127
486.jpg,Glaucoma,0.15747,0.84253
490.jpg,Glaucoma,0.08950,0.91050
496.jpg,Glaucoma,0.30443,0.69557
505.jpg,Glaucoma,0.03110,0.96890
506.jpg,Glaucoma,0.77266,0.22734
507.jpg,Glaucoma,0.29843,0.70157
508.jpg,Glaucoma,0.11724,0.88276
511.jpg,Glaucoma,0.07223,0.92777
512.jpg,Glaucoma,0.91044,0.08956
514.jpg,Glaucoma,0.68802,0.31198
515.jpg,Glaucoma,0.57864,0.42136
516.jpg,Glaucoma,0.81471,0.18529
519.jpg,Glaucoma,0.35650,0.64350
523.jpg,Glaucoma,0.78915,0.21085
524.jpg,Glaucoma,0.63382,0.36618
528.jpg,Glaucoma,0.87695,0.12305
532.jpg,Glaucoma,0.30626,0.69374
533.jpg,Glaucoma,0.88845,0.11155
545.jpg,Glaucoma,0.14089,0.85911
549.jpg,Glaucoma,0.57074,0.42926
550.jpg,Glaucoma,0.28794,0.71206
556.jpg,Glaucoma,0.62775,0.37225
557.jpg,Glaucoma,0.15789,0.84211
558.jpg,Glaucoma,0.07379,0.92621
560.jpg,Glaucoma,0.05480,0.94520
571.jpg,Glaucoma,0.81963,0.18037
572.jpg,Glaucoma,0.66877,0.33123
578.jpg,Glaucoma,0.95463,0.04537
580.jpg,Glaucoma,0.43443,0.56557
582.jpg,Glaucoma,0.07162,0.92838
584.jpg,Glaucoma,0.75795,0.24205
586.jpg,Glaucoma,0.02987,0.97013
588.jpg,Glaucoma,0.83979,0.16021
589.jpg,Glaucoma,0.02603,0.97397
591.jpg,Glaucoma,0.08042,0.91958
592.jpg,Glaucoma,0.49536,0.50464
593.jpg,Glaucoma,0.56690,0.43310
595.jpg,Glaucoma,0.92861,0.07139
598.jpg,Glaucoma,0.00885,0.99115
600.jpg,Glaucoma,0.82946,0.17054
601.jpg,Glaucoma,0.35494,0.64506
604.jpg,Glaucoma,0.52674,0.47326
605.jpg,Glaucoma,0.25488,0.74512
608.jpg,Glaucoma,0.02869,0.97131
609.jpg,Glaucoma,0.52970,0.47030
612.jpg,Glaucoma,0.53661,0.46339
613.jpg,Glaucoma,0.69243,0.30757
615.jpg,Glaucoma,0.07541,0.92459
617.jpg,Glaucoma,0.36303,0.63697
618.jpg,Glaucoma,0.08828,0.91172
619.jpg,Glaucoma,0.04940,0.95060
621.jpg,Glaucoma,0.91619,0.08381
622.jpg,Glaucoma,0.18037,0.81963
623.jpg,Glaucoma,0.56583,0.43417
624.jpg,Glaucoma,0.73136,0.26864
626.jpg,Glaucoma,0.75317,0.24683
627.jpg,Glaucoma,0.09373,0.90627
628.jpg,Glaucoma,0.08489,0.91511
630.jpg,Glaucoma,0.45488,0.54512
631.jpg,Glaucoma,0.51299,0.48701
632.jpg,Glaucoma,0.43609,0.56391
634.jpg,Glaucoma,0.15716,0.84284
636.jpg,Glaucoma,0.30688,0.69312
638.jpg,Glaucoma,0.14249,0.85751
640.jpg,Glaucoma,0.11166,0.88834
641.jpg,Glaucoma,0.46902,0.53098
644.jpg,Glaucoma,0.44108,0.55892
645.jpg,Glaucoma,0.06027,0.93973
646.jpg,Glaucoma,0.17770,0.82230
647.jpg,Glaucoma,0.95185,0.04815
648.jpg,Glaucoma,0.62936,0.37064
650.jpg,Glaucoma,0.03232,0.96768
001.jpg,Healthy,0.57214,0.42786
002.jpg,Healthy,0.18922,0.81078
003.jpg,Healthy,0.08139,0.91861
004.jpg,Healthy,0.13259,0.86741
005.jpg,Healthy,0.03742,0.96258
006.jpg,Healthy,0.04937,0.95063
007.jpg,Healthy,0.06954,0.93046
008.jpg,Healthy,0.11177,0.88823
009.jpg,Healthy,0.05747,0.94253
010.jpg,Healthy,0.01655,0.98345
011.jpg,Healthy,0.06823,0.93177
012.jpg,Healthy,0.26518,0.73482
013.jpg,Healthy,0.01401,0.98599
014.jpg,Healthy,0.00891,0.99109
015.jpg,Healthy,0.17203,0.82797
016.jpg,Healthy,0.02156,0.97844
017.jpg,Healthy,0.17011,0.82989
018.jpg,Healthy,0.03663,0.96337
019.jpg,Healthy,0.03983,0.96017
020.jpg,Healthy,0.01318,0.98682
021.jpg,Healthy,0.03920,0.96080
022.jpg,Healthy,0.76964,0.23036
023.jpg,Healthy,0.09512,0.90488
024.jpg,Healthy,0.03533,0.96467
025.jpg,Healthy,0.03161,0.96839
026.jpg,Healthy,0.00152,0.99848
027.jpg,Healthy,0.00224,0.99776
028.jpg,Healthy,0.01947,0.98053
029.jpg,Healthy,0.00896,0.99104
030.jpg,Healthy,0.07229,0.92771
031.jpg,Healthy,0.24376,0.75624
032.jpg,Healthy,0.01976,0.98024
033.jpg,Healthy,0.02569,0.97431
034.jpg,Healthy,0.01943,0.98057
035.jpg,Healthy,0.01923,0.98077
038.jpg,Healthy,0.21946,0.78054
039.jpg,Healthy,0.03083,0.96917
040.jpg,Healthy,0.00945,0.99055
042.jpg,Healthy,0.03577,0.96423
043.jpg,Healthy,0.03594,0.96406
044.jpg,Healthy,0.13181,0.86819
045.jpg,Healthy,0.11273,0.88727
046.jpg,Healthy,0.01276,0.98724
047.jpg,Healthy,0.03173,0.96827
048.jpg,Healthy,0.06886,0.93114
049.jpg,Healthy,0.22826,0.77174
051.jpg,Healthy,0.14636,0.85364
052.jpg,Healthy,0.50216,0.49784
053.jpg,Healthy,0.01930,0.98070
054.jpg,Healthy,0.14681,0.85319
055.jpg,Healthy,0.06056,0.93944
056.jpg,Healthy,0.02127,0.97873
057.jpg,Healthy,0.15474,0.84526
058.jpg,Healthy,0.65459,0.34541
059.jpg,Healthy,0.01006,0.98994
060.jpg,Healthy,0.00433,0.99567
061.jpg,Healthy,0.03082,0.96918
062.jpg,Healthy,0.14330,0.85670
063.jpg,Healthy,0.02319,0.97681
064.jpg,Healthy,0.03453,0.96547
065.jpg,Healthy,0.02379,0.97621
066.jpg,Healthy,0.14773,0.85227
067.jpg,Healthy,0.24058,0.75942
068.jpg,Healthy,0.25731,0.74269
070.jpg,Healthy,0.60548,0.39452
