image_name,Class,Glaucoma,Healthy
036.jpg,Glaucoma,0.47927,0.52073
037.jpg,Glaucoma,0.25875,0.74125
041.jpg,Glaucoma,0.35287,0.64713
050.jpg,Glaucoma,0.74294,0.25706
069.jpg,Glaucoma,0.48547,0.51453
072.jpg,Glaucoma,0.04941,0.95059
076.jpg,Glaucoma,0.94422,0.05578
086.jpg,Glaucoma,0.04096,0.95904
087.jpg,Glaucoma,0.01615,0.98385
093.jpg,Glaucoma,0.28136,0.71864
094.jpg,Glaucoma,0.66036,0.33964
097.jpg,Glaucoma,0.72108,0.27892
110.jpg,Glaucoma,0.13857,0.86143
116.jpg,Glaucoma,0.03929,0.96071
138.jpg,Glaucoma,0.06480,0.93520
158.jpg,Glaucoma,0.72527,0.27473
159.jpg,Glaucoma,0.86393,0.13607
160.jpg,Glaucoma,0.73794,0.26206
165.jpg,Glaucoma,0.59601,0.40399
168.jpg,Glaucoma,0.36287,0.63713
171.jpg,Glaucoma,0.00407,0.99593
180.jpg,Glaucoma,0.18629,0.81371
181.jpg,Glaucoma,0.07467,0.92533
182.jpg,Glaucoma,0.33750,0.66250
208.jpg,Glaucoma,0.47072,0.52928
213.jpg,Glaucoma,0.04512,0.95488
225.jpg,Glaucoma,0.43343,0.56657
228.jpg,Glaucoma,0.15936,0.84064
229.jpg,Glaucoma,0.24132,0.75868
233.jpg,Glaucoma,0.21445,0.78555
240.jpg,Glaucoma,0.77493,0.22507
241.jpg,Glaucoma,0.66346,0.33654
245.jpg,Glaucoma,0.38841,0.61159
246.jpg,Glaucoma,0.02482,0.97518
247.jpg,Glaucoma,0.19853,0.80147
269.jpg,Glaucoma,0.13814,0.86186
270.jpg,Glaucoma,0.18428,0.81572
273.jpg,Glaucoma,0.06012,0.93988
277.jpg,Glaucoma,0.23550,0.76450
278.jpg,Glaucoma,0.86756,0.13244
283.jpg,Glaucoma,0.23788,0.76212
284.jpg,Glaucoma,0.84800,0.15200
285.jpg,Glaucoma,0.40547,0.59453
286.jpg,Glaucoma,0.11233,0.88767
289.jpg,Glaucoma,0.73218,0.26782
293.jpg,Glaucoma,0.03882,0.96118
294.jpg,Glaucoma,0.75280,0.24720
300.jpg,Glaucoma,0.93783,0.06217
301.jpg,Glaucoma,0.66077,0.33923
304.jpg,Glaucoma,0.02584,0.97416
305.jpg,Glaucoma,0.32076,0.67924
306.jpg,Glaucoma,0.50757,0.49243
312.jpg,Glaucoma,0.03566,0.96434
317.jpg,Glaucoma,0.00865,0.99135
322.jpg,Glaucoma,0.06304,0.93696
327.jpg,Glaucoma,0.14501,0.85499
330.jpg,Glaucoma,0.01128,0.98872
336.jpg,Glaucoma,0.50131,0.49869
337.jpg,Glaucoma,0.33838,0.66162
340.jpg,Glaucoma,0.59383,0.40617
345.jpg,Glaucoma,0.24160,0.75840
348.jpg,Glaucoma,0.90758,0.09242
349.jpg,Glaucoma,0.14934,0.85066
353.jpg,Glaucoma,0.06693,0.93307
354.jpg,Glaucoma,0.31325,0.68675
359.jpg,Glaucoma,0.01682,0.98318
362.jpg,Glaucoma,0.66232,0.33768
366.jpg,Glaucoma,0.19939,0.80061
377.jpg,Glaucoma,0.80274,0.19726
381.jpg,Glaucoma,0.29199,0.70801
382.jpg,Glaucoma,0.06845,0.93155
383.jpg,Glaucoma,0.34472,0.65528
385.jpg,Glaucoma,0.09229,0.90771
386.jpg,Glaucoma,0.07878,0.92122
389.jpg,Glaucoma,0.55988,0.44012
390.jpg,Glaucoma,0.66887,0.33113
395.jpg,Glaucoma,0.08559,0.91441
