image_name,Class,Glaucoma,Healthy
Im310_g_ACRIMA.jpg,Glaucoma,0.23221,0.76779
Im311_g_ACRIMA.jpg,Glaucoma,0.17469,0.82531
Im312_g_ACRIMA.jpg,Glaucoma,0.00349,0.99651
Im313_g_ACRIMA.jpg,Glaucoma,0.00205,0.99795
Im314_g_ACRIMA.jpg,Glaucoma,0.25013,0.74987
Im315_g_ACRIMA.jpg,Glaucoma,0.25340,0.74660
Im316_g_ACRIMA.jpg,Glaucoma,0.00994,0.99006
Im317_g_ACRIMA.jpg,Glaucoma,0.00015,0.99985
Im318_g_ACRIMA.jpg,Glaucoma,0.08592,0.91408
Im319_g_ACRIMA.jpg,Glaucoma,0.40991,0.59009
Im320_g_ACRIMA.jpg,Glaucoma,0.09114,0.90886
Im321_g_ACRIMA.jpg,Glaucoma,0.30844,0.69156
Im322_g_ACRIMA.jpg,Glaucoma,0.00583,0.99417
Im323_g_ACRIMA.jpg,Glaucoma,0.48006,0.51994
Im324_g_ACRIMA.jpg,Glaucoma,0.97374,0.02626
Im325_g_ACRIMA.jpg,Glaucoma,0.68819,0.31181
Im326_g_ACRIMA.jpg,Glaucoma,0.09593,0.90407
Im327_g_ACRIMA.jpg,Glaucoma,0.33657,0.66343
Im328_g_ACRIMA.jpg,Glaucoma,0.07068,0.92932
Im329_g_ACRIMA.jpg,Glaucoma,0.00480,0.99520
Im330_g_ACRIMA.jpg,Glaucoma,0.02162,0.97838
Im331_g_ACRIMA.jpg,Glaucoma,0.85218,0.14782
Im332_g_ACRIMA.jpg,Glaucoma,0.04336,0.95664
Im333_g_ACRIMA.jpg,Glaucoma,0.02268,0.97732
Im334_g_ACRIMA.jpg,Glaucoma,0.00214,0.99786
Im335_g_ACRIMA.jpg,Glaucoma,0.10398,0.89601
Im336_g_ACRIMA.jpg,Glaucoma,0.03657,0.96343
Im337_g_ACRIMA.jpg,Glaucoma,0.06367,0.93633
Im338_g_ACRIMA.jpg,Glaucoma,0.04068,0.95932
Im339_g_ACRIMA.jpg,Glaucoma,0.30364,0.69636
Im340_g_ACRIMA.jpg,Glaucoma,0.01803,0.98197
Im341_g_ACRIMA.jpg,Glaucoma,0.84715,0.15285
Im342_g_ACRIMA.jpg,Glaucoma,0.69549,0.30451
Im343_g_ACRIMA.jpg,Glaucoma,0.26997,0.73003
Im344_g_ACRIMA.jpg,Glaucoma,0.00006,0.99994
Im345_g_ACRIMA.jpg,Glaucoma,0.77654,0.22346
Im346_g_ACRIMA.jpg,Glaucoma,0.14808,0.85192
Im347_g_ACRIMA.jpg,Glaucoma,0.02614,0.97386
Im348_g_ACRIMA.jpg,Glaucoma,0.94571,0.05429
Im349_g_ACRIMA.jpg,Glaucoma,0.98452,0.01548
Im350_g_ACRIMA.jpg,Glaucoma,0.75629,0.24371
Im351_g_ACRIMA.jpg,Glaucoma,0.82089,0.17911
Im352_g_ACRIMA.jpg,Glaucoma,0.00698,0.99302
Im353_g_ACRIMA.jpg,Glaucoma,0.03050,0.96950
Im354_g_ACRIMA.jpg,Glaucoma,0.79509,0.20491
Im355_g_ACRIMA.jpg,Glaucoma,0.43112,0.56888
Im356_g_ACRIMA.jpg,Glaucoma,0.06756,0.93244
Im357_g_ACRIMA.jpg,Glaucoma,0.00763,0.99237
Im358_g_ACRIMA.jpg,Glaucoma,0.59681,0.40319
Im359_g_ACRIMA.jpg,Glaucoma,0.35973,0.64027
Im360_g_ACRIMA.jpg,Glaucoma,0.05500,0.94500
